법정동코드,법정동명,id
1144010700,서울특별시 마포구 마포동,326
1144010800,서울특별시 마포구 대흥동,327
1144010900,서울특별시 마포구 염리동,328
1144011000,서울특별시 마포구 노고산동,329
1144011100,서울특별시 마포구 신수동,330
1144011200,서울특별시 마포구 현석동,331
1144011300,서울특별시 마포구 구수동,332
1144011400,서울특별시 마포구 창전동,333
1144011500,서울특별시 마포구 상수동,334
1144011600,서울특별시 마포구 하중동,335
1144011700,서울특별시 마포구 신정동,336
1144011800,서울특별시 마포구 당인동,337
1144012000,서울특별시 마포구 서교동,338
1144012100,서울특별시 마포구 동교동,339
1144012200,서울특별시 마포구 합정동,340
1144012300,서울특별시 마포구 망원동,341
1144012400,서울특별시 마포구 연남동,342
1144012500,서울특별시 마포구 성산동,343
1144012600,서울특별시 마포구 중동,344
1144012700,서울특별시 마포구 상암동,345
1147010100,서울특별시 양천구 신정동,346
1147010200,서울특별시 양천구 목동,347
1147010300,서울특별시 양천구 신월동,348
1150010100,서울특별시 강서구 염창동,349
1150010200,서울특별시 강서구 등촌동,350
1150010300,서울특별시 강서구 화곡동,351
1150010400,서울특별시 강서구 가양동,352
1150010500,서울특별시 강서구 마곡동,353
1150010600,서울특별시 강서구 내발산동,354
1150010700,서울특별시 강서구 외발산동,355
1150010800,서울특별시 강서구 공항동,356
1150010900,서울특별시 강서구 방화동,357
1150011000,서울특별시 강서구 개화동,358
1150011100,서울특별시 강서구 과해동,359
1150011200,서울특별시 강서구 오곡동,360
1150011300,서울특별시 강서구 오쇠동,361
1153010100,서울특별시 구로구 신도림동,362
1153010200,서울특별시 구로구 구로동,363
1153010300,서울특별시 구로구 가리봉동,364
1153010600,서울특별시 구로구 고척동,365
1153010700,서울특별시 구로구 개봉동,366
1153010800,서울특별시 구로구 오류동,367
1153010900,서울특별시 구로구 궁동,368
1153011000,서울특별시 구로구 온수동,369
1153011100,서울특별시 구로구 천왕동,370
1153011200,서울특별시 구로구 항동,371
1154510100,서울특별시 금천구 가산동,372
1154510200,서울특별시 금천구 독산동,373
1154510300,서울특별시 금천구 시흥동,374
1156010100,서울특별시 영등포구 영등포동,375
1156010200,서울특별시 영등포구 영등포동1가,376
1156010300,서울특별시 영등포구 영등포동2가,377
1156010400,서울특별시 영등포구 영등포동3가,378
1156010500,서울특별시 영등포구 영등포동4가,379
1156010600,서울특별시 영등포구 영등포동5가,380
1156010700,서울특별시 영등포구 영등포동6가,381
1156010800,서울특별시 영등포구 영등포동7가,382
1156010900,서울특별시 영등포구 영등포동8가,383
1156011000,서울특별시 영등포구 여의도동,384
1156011100,서울특별시 영등포구 당산동1가,385
1156011200,서울특별시 영등포구 당산동2가,386
1156011300,서울특별시 영등포구 당산동3가,387
1156011400,서울특별시 영등포구 당산동4가,388
1156011500,서울특별시 영등포구 당산동5가,389
1156011600,서울특별시 영등포구 당산동6가,390
1156011700,서울특별시 영등포구 당산동,391
1156011800,서울특별시 영등포구 도림동,392
1156011900,서울특별시 영등포구 문래동1가,393
1156012000,서울특별시 영등포구 문래동2가,394
1156012100,서울특별시 영등포구 문래동3가,395
1156012200,서울특별시 영등포구 문래동4가,396
1156012300,서울특별시 영등포구 문래동5가,397
1156012400,서울특별시 영등포구 문래동6가,398
1156012500,서울특별시 영등포구 양평동1가,399
1156012600,서울특별시 영등포구 양평동2가,400
1156012700,서울특별시 영등포구 양평동3가,401
1156012800,서울특별시 영등포구 양평동4가,402
1156012900,서울특별시 영등포구 양평동5가,403
1156013000,서울특별시 영등포구 양평동6가,404
1156013100,서울특별시 영등포구 양화동,405
1156013200,서울특별시 영등포구 신길동,406
1156013300,서울특별시 영등포구 대림동,407
1156013400,서울특별시 영등포구 양평동,408
1159010100,서울특별시 동작구 노량진동,409
1159010200,서울특별시 동작구 상도동,410
1159010300,서울특별시 동작구 상도1동,411
1159010400,서울특별시 동작구 본동,412
1159010500,서울특별시 동작구 흑석동,413
1159010600,서울특별시 동작구 동작동,414
1159010700,서울특별시 동작구 사당동,415
1159010800,서울특별시 동작구 대방동,416
1159010900,서울특별시 동작구 신대방동,417
1162010100,서울특별시 관악구 봉천동,418
1162010200,서울특별시 관악구 신림동,419
1162010300,서울특별시 관악구 남현동,420
1165010100,서울특별시 서초구 방배동,421
1165010200,서울특별시 서초구 양재동,422
1165010300,서울특별시 서초구 우면동,423
1165010400,서울특별시 서초구 원지동,424
1165010600,서울특별시 서초구 잠원동,425
1165010700,서울특별시 서초구 반포동,426
1165010800,서울특별시 서초구 서초동,427
1165010900,서울특별시 서초구 내곡동,428
1165011000,서울특별시 서초구 염곡동,429
1165011100,서울특별시 서초구 신원동,430
1168010100,서울특별시 강남구 역삼동,431
1168010300,서울특별시 강남구 개포동,432
1168010400,서울특별시 강남구 청담동,433
1168010500,서울특별시 강남구 삼성동,434
1168010600,서울특별시 강남구 대치동,435
1168010700,서울특별시 강남구 신사동,436
1168010800,서울특별시 강남구 논현동,437
1168011000,서울특별시 강남구 압구정동,438
1168011100,서울특별시 강남구 세곡동,439
1168011200,서울특별시 강남구 자곡동,440
1168011300,서울특별시 강남구 율현동,441
1168011400,서울특별시 강남구 일원동,442
1168011500,서울특별시 강남구 수서동,443
1168011800,서울특별시 강남구 도곡동,444
1171010100,서울특별시 송파구 잠실동,445
1171010200,서울특별시 송파구 신천동,446
1171010300,서울특별시 송파구 풍납동,447
1171010400,서울특별시 송파구 송파동,448
1171010500,서울특별시 송파구 석촌동,449
1171010600,서울특별시 송파구 삼전동,450
1171010700,서울특별시 송파구 가락동,451
1171010800,서울특별시 송파구 문정동,452
1171010900,서울특별시 송파구 장지동,453
1171011100,서울특별시 송파구 방이동,454
1171011200,서울특별시 송파구 오금동,455
1171011300,서울특별시 송파구 거여동,456
1171011400,서울특별시 송파구 마천동,457
1174010100,서울특별시 강동구 명일동,458
1174010200,서울특별시 강동구 고덕동,459
1174010300,서울특별시 강동구 상일동,460
1174010500,서울특별시 강동구 길동,461
1174010600,서울특별시 강동구 둔촌동,462
1174010700,서울특별시 강동구 암사동,463
1174010800,서울특별시 강동구 성내동,464
1174010900,서울특별시 강동구 천호동,465
1174011000,서울특별시 강동구 강일동,466
